mjd            flux     error
2457517.209956 0.454216 0.0185251
2457517.210012 0.123707 0.0158678
2457517.210074 -0.0441742 0.015052
2457517.210136 0.160731 0.0161515
2457517.210198 0.398715 0.0172122
2457517.210260 0.677074 0.0183916
2457517.210322 0.730947 0.0190723
2457517.210384 0.829098 0.0200419
2457517.210446 0.876381 0.0205709
2457517.210508 0.880401 0.0207934
2457517.210570 0.86891 0.0206079
2457517.210632 0.750497 0.0193669
2457517.210694 0.551943 0.0180837
2457517.210755 0.82145 0.0197734
2457517.210817 0.935711 0.0207864
2457517.210879 1.04713 0.0219073
2457517.210941 1.03164 0.0214135
2457517.211003 0.989213 0.0216026
2457517.211065 1.09793 0.0218186
2457517.211127 1.00623 0.0207009
2457517.211189 0.856106 0.0200209
2457517.211251 0.610338 0.0184881
2457517.211313 0.372489 0.0171044
2457517.211375 -0.071543 0.0148627
2457517.211437 -0.413517 0.01369
2457517.211499 -0.0359233 0.0148243
2457517.211560 0.218025 0.0159131
2457517.211622 0.486586 0.0168957
2457517.211684 0.619758 0.0178476
2457517.211746 0.633632 0.0177455
2457517.211808 0.691008 0.0179242
2457517.211870 0.716192 0.0187297
2457517.211932 0.664109 0.0182433
2457517.211994 0.613825 0.0179474
2457517.212056 0.682555 0.0179709
2457517.212118 0.756244 0.0185566
2457517.212180 0.902345 0.0194433
2457517.212242 1.02518 0.0204613
2457517.212304 1.05903 0.0210852
2457517.212365 1.00809 0.0210831
2457517.212427 0.938501 0.0202037
2457517.212489 0.923531 0.0196415
2457517.212551 0.756478 0.0187914
2457517.212613 0.611052 0.0174891
2457517.212675 0.361122 0.0168955
2457517.212737 -0.0912049 0.0141877
2457517.212799 -0.292254 0.0135566
2457517.212861 -0.200707 0.0140826
2457517.212923 0.254892 0.0161162
2457517.212985 0.491301 0.0169975
2457517.213047 0.644592 0.0182514
2457517.213109 0.70412 0.0183486
2457517.213170 0.764209 0.0198738
2457517.213232 0.856385 0.019806
2457517.213294 0.750958 0.0193112
2457517.213356 0.653913 0.0185951
2457517.213418 0.688919 0.0183575
2457517.213480 0.854101 0.0198237
2457517.213542 0.981172 0.0205643
2457517.213604 1.0806 0.0218627
2457517.213666 1.09432 0.0222476
2457517.213728 1.14605 0.0222815
2457517.213790 1.01463 0.0213378
2457517.213852 0.938782 0.0203562
2457517.213914 0.758065 0.0189998
2457517.213975 0.581962 0.0179104
2457517.214037 0.366564 0.0167954
2457517.214099 0.0998605 0.0156853
2457517.214161 -0.0289547 0.0151642
2457517.214223 -0.0273053 0.0152291
2457517.214285 0.242347 0.0163411
2457517.214347 0.492146 0.017593
2457517.214409 0.751227 0.0183612
2457517.214471 0.79656 0.0198147
2457517.214533 0.827326 0.0205492
2457517.214595 0.897009 0.0207895
2457517.214657 0.86226 0.0198957
2457517.214718 0.69643 0.0191934
2457517.214780 0.664695 0.0187438
2457517.214842 0.887024 0.0205811
2457517.214904 1.02241 0.0215141
2457517.214966 0.990102 0.0212942
2457517.215028 1.07065 0.0215775
2457517.215090 1.15695 0.0223033
2457517.215152 1.02555 0.0219803
2457517.215214 0.871013 0.020581
2457517.215276 0.717762 0.0187084
2457517.215338 0.53003 0.017693
2457517.215400 0.316085 0.016296
2457517.215462 0.046907 0.0147956
2457517.215523 -0.0290339 0.0151241
2457517.215585 0.215929 0.015764
2457517.215647 0.365647 0.0162127
2457517.215709 0.571292 0.017412
2457517.215771 0.764273 0.0190724
2457517.215833 0.888217 0.0197993
2457517.215895 0.926168 0.0197948
2457517.215957 0.904573 0.0199112
2457517.216019 0.843068 0.0192776
2457517.216081 0.606001 0.0174901
2457517.216143 0.413521 0.0168382
2457517.216205 0.654091 0.0180191
2457517.216267 0.879905 0.0197315
2457517.216328 1.05714 0.0210407
2457517.216390 1.13954 0.0220026
2457517.216452 1.16739 0.0215897
2457517.216514 1.13049 0.0214546
2457517.216576 1.01534 0.0204983
2457517.216638 0.704458 0.0184691
2457517.216700 0.523636 0.0170919
2457517.216762 0.273661 0.0154399
2457517.216824 0.00953324 0.0144473
2457517.216886 0.0172111 0.0148028
2457517.216948 0.156533 0.0152344
2457517.217010 0.285485 0.0160617
2457517.217072 0.541476 0.0170934
2457517.217133 0.747279 0.0185971
2457517.217195 0.926708 0.0201592
2457517.217257 0.951343 0.0198269
2457517.217319 1.03247 0.0201306
2457517.217381 0.890419 0.0191446
2457517.217443 0.721364 0.018209
2457517.217505 0.627564 0.0174077
2457517.217567 0.839164 0.0187189
2457517.217629 1.0652 0.0205065
2457517.217691 1.15653 0.021485
2457517.217753 1.21842 0.0218545
2457517.217815 1.21013 0.021798
2457517.217877 1.1782 0.0218768
2457517.217938 1.17696 0.0216538
2457517.218000 1.02506 0.0203561
2457517.218062 0.69985 0.0183051
2457517.218124 0.467464 0.0165315
2457517.218186 0.137616 0.0153084
2457517.218248 0.140716 0.015178
2457517.218310 0.282949 0.0155453
2457517.218372 0.321552 0.0155513
2457517.218434 0.607351 0.0173613
2457517.218496 0.789896 0.0186564
